comment,participation,level_of_justification,content_of_justification,respect,counterarguments,constructive_politics,sentiment,fb_comment,live_th,blog_comment
How about lowering taxes,1,0,0,1,0,0,1,1,0,0
Why the interruption?,1,0,0,1,0,0,1,1,0,0
Make it mandatory that all apartments accept pets!,1,0,0,1,0,0,1,1,0,0
Resign!,1,0,0,0,0,0,0,1,0,0
"Loser PM, please go away",1,0,0,0,0,0,0,1,0,0
"I like PM Trudeau, he is so simple like Obama",1,1,1,2,0,0,2,1,0,0
Federal regulations on MEP dodgers....,1,0,0,1,0,0,1,1,0,0
I wish the President of the United States did this!,1,0,0,1,0,0,1,1,0,0
Much ignorance here in the comments.  Smh.,1,0,0,0,1,0,0,1,0,0
"I know that is of no comfort to those affected, but what a shining example of democracy in action. I'm from a country where we could/would not be even able to challenge the system, let alone meet and address such a grievance to the PM.",1,2,3,2,2,2,2,1,0,0
"I thought it was a fair answer.  He spoke directly to the issue.  One may not like the answer - that the transition sucked, we're working on it - but it seemed honest, and sincere.  He should have his feet kept at the fire as this is a governing issue.  The conservatives, if they would have modernized payroll during their tenure -  an entire decade I might ad - then this issue would not even be on the current PM's desk. Why is it that conservatives expect magic from liberals, but accept less than mediocre from their  own representatives. I can definitively say that liberals expect more from their representatives, than they expect from conservatives. The hypocrisy is as thick as  French pea soup.",1,1,0,1,1,1,1,1,0,0
"RULE ONE of computer software systems application is implement new systems in parallel with existing ones, to compare and correct abnormalities.  Someone in government missed that class in Geek",1,0,0,1,0,0,0,1,0,0
"My view towards politics is more centrist (I like some Conservative views and some Liberal views), the one thing I see is that social media never creates anything positive when it comes to politics.  All it does is allow people to hide behind a keyboard and say terrible things to each other.  If the US is any indication, patience, acceptance and understanding seem to be going to the way side.  I really don't want to see the Trump style of politics make it's way into our country but with the constant bombardment, these comment sections are starting to turn into the typical stuff you see on youtube.  What's the point of discussing anything on here if all that people do is yell Fake news, Idiot, Stupid and You suck comments at each other?   Really, what is the point?  Do you feel better after you do that?  Do you feel that you've made your country better?  I doubt it.  ,1.0,0.33,0.33,0.5,0.33,0,0,1,0
I rarely comment on this stuff but it's really a downer to see this kind of response to a guy who is putting it out there and going into town halls to face crowds of people who are not entirely happy.  No one is perfect but it looks like he is trying and that is a lot more than what we usually get in our leaders.""",1,1,2,2,1,0,0,1,0,0
"Beg to differ about there being no old system, Prime Minister.  There was an old system but there was also a service delivery model that went along with it, to oversee and validate all the system operations. Your predecessor eliminated more than 500 Compensation Advisor positions.  That was the mistake, not the new system or the old system.  There was no verification, no thought to exceptions and special circumstances and no thought to quality service delivery because we're public servants, so who cares if the non-revenue-generating-overhead gets paid or not, right? His contempt for the public service was well known, but this is black and white proof.   Your first step in a sustainable solution is to reinstate the departmental (not centralized) compensation advisor function, THEN re-deploy an improved Phoenix.  Stop cheaping out like Harper did because in this case, throwing money at the situation CAN solve the problem. I voted for you. Make it happen.  That's your only job, to make your campaign promises happen.",1,3,0,2,1,1,0,1,0,0
