"","matrix.0.","state","district","title","enddate","party","birthday","firstname","middlename","lastname","sortname","gender","twitterid"
"1","PR-0","PR",0,"Commish.","2017-01-03","Democrat","1959-04-26","Pedro","R.","Pierluisi","Pierluisi, Pedro (Commish.) [D-PR0]","male","PedroPierluisi"
"2","AL-4","AL",4,"Rep.","2017-01-03","Republican","1965-07-22","Robert","B.","Aderholt","Aderholt, Robert (Rep.) [R-AL4]","male","Robert_Aderholt"
"3","TX-6","TX",6,"Rep.","2017-01-03","Republican","1949-09-15","Joe","Linus","Barton","Barton, Joe (Rep.) [R-TX6]","male","RepJoeBarton"
"4","CA-34","CA",34,"Rep.","2017-01-03","Democrat","1958-01-26","Xavier","","Becerra","Becerra, Xavier (Rep.) [D-CA34]","male","RepBecerra"
"5","UT-1","UT",1,"Rep.","2017-01-03","Republican","1951-07-13","Rob","","Bishop","Bishop, Rob (Rep.) [R-UT1]","male","RepRobBishop"
"6","GA-2","GA",2,"Rep.","2017-01-03","Democrat","1947-02-04","Sanford","D.","Bishop","Bishop, Sanford (Rep.) [D-GA2]","male","SanfordBishop"
"7","TN-7","TN",7,"Rep.","2017-01-03","Republican","1952-06-06","Marsha","W.","Blackburn","Blackburn, Marsha (Rep.) [R-TN7]","female","MarshaBlackburn"
"8","OR-3","OR",3,"Rep.","2017-01-03","Democrat","1948-08-16","Earl","","Blumenauer","Blumenauer, Earl (Rep.) [D-OR3]","male","BlumenauerMedia"
"9","OH-8","OH",8,"Rep.","2017-01-03","Republican","1949-11-17","John","A.","Boehner","Boehner, John (Rep.) [R-OH8]","male","SpeakerBoehner"
"10","GU-0","GU",0,"Rep.","2017-01-03","Democrat","1933-05-31","Madeleine","Z.","Bordallo","Bordallo, Madeleine (Rep.) [D-GU0]","female",NA
"11","TX-8","TX",8,"Rep.","2017-01-03","Republican","1955-04-11","Kevin","P.","Brady","Brady, Kevin (Rep.) [R-TX8]","male","RepKevinBrady"
"12","PA-1","PA",1,"Rep.","2017-01-03","Democrat","1945-04-07","Robert","Alan","Brady","Brady, Robert (Rep.) [D-PA1]","male","RepBrady"
"13","FL-5","FL",5,"Rep.","2017-01-03","Democrat","1946-11-11","Corrine","","Brown","Brown, Corrine (Rep.) [D-FL5]","female","RepCorrineBrown"
"14","TX-26","TX",26,"Rep.","2017-01-03","Republican","1950-12-23","Michael","C.","Burgess","Burgess, Michael (Rep.) [R-TX26]","male","MichaelCBurgess"
"15","CA-42","CA",42,"Rep.","2017-01-03","Republican","1953-06-08","Ken","S.","Calvert","Calvert, Ken (Rep.) [R-CA42]","male","KenCalvert"
"16","CA-24","CA",24,"Rep.","2017-01-03","Democrat","1938-01-10","Lois","","Capps","Capps, Lois (Rep.) [D-CA24]","female","RepLoisCapps"
"17","MA-7","MA",7,"Rep.","2017-01-03","Democrat","1952-01-09","Michael","E.","Capuano","Capuano, Michael (Rep.) [D-MA7]","male",NA
"18","TX-31","TX",31,"Rep.","2017-01-03","Republican","1941-11-06","John","R.","Carter","Carter, John (Rep.) [R-TX31]","male","JudgeCarter"
"19","OH-1","OH",1,"Rep.","2017-01-03","Republican","1953-01-22","Steve","J.","Chabot","Chabot, Steve (Rep.) [R-OH1]","male","RepSteveChabot"
"20","MO-1","MO",1,"Rep.","2017-01-03","Democrat","1956-07-27","Wm.","Lacy","Clay","Clay, Lacy (Rep.) [D-MO1]","male",NA
"21","SC-6","SC",6,"Rep.","2017-01-03","Democrat","1940-07-21","James","E.","Clyburn","Clyburn, James “Jim” (Rep.) [D-SC6]","male","Clyburn"
"22","NC-6","NC",6,"Rep.","2017-01-03","Republican","1969-05-20","Mark","","Walker","Walker, Mark (Rep.) [R-NC6]","male",NA
"23","OK-4","OK",4,"Rep.","2017-01-03","Republican","1949-04-28","Tom","","Cole","Cole, Tom (Rep.) [R-OK4]","male","TomColeOK04"
"24","MI-13","MI",13,"Rep.","2017-01-03","Democrat","1929-05-16","John","","Conyers","Conyers, John (Rep.) [D-MI13]","male","RepJohnConyers"
"25","TN-5","TN",5,"Rep.","2017-01-03","Democrat","1954-06-19","Jim","","Cooper","Cooper, Jim (Rep.) [D-TN5]","male","RepJimCooper"
"26","FL-4","FL",4,"Rep.","2017-01-03","Republican","1944-09-01","Ander","","Crenshaw","Crenshaw, Ander (Rep.) [R-FL4]","male","AnderCrenshaw"
"27","NY-14","NY",14,"Rep.","2017-01-03","Democrat","1962-03-16","Joseph","","Crowley","Crowley, Joseph “Joe” (Rep.) [D-NY14]","male","RepJoeCrowley"
"28","TX-7","TX",7,"Rep.","2017-01-03","Republican","1956-08-24","John","Abney","Culberson","Culberson, John (Rep.) [R-TX7]","male","CongCulberson"
"29","MD-7","MD",7,"Rep.","2017-01-03","Democrat","1951-01-18","Elijah","E.","Cummings","Cummings, Elijah (Rep.) [D-MD7]","male","RepCummings"
"30","IL-7","IL",7,"Rep.","2017-01-03","Democrat","1941-09-06","Danny","K.","Davis","Davis, Danny (Rep.) [D-IL7]","male","RepDannyDavis"
"31","CA-53","CA",53,"Rep.","2017-01-03","Democrat","1944-04-13","Susan","A.","Davis","Davis, Susan (Rep.) [D-CA53]","female","RepSusanDavis"
"32","OR-4","OR",4,"Rep.","2017-01-03","Democrat","1947-05-27","Peter","A.","DeFazio","DeFazio, Peter (Rep.) [D-OR4]","male","RepPeterDeFazio"
"33","CO-1","CO",1,"Rep.","2017-01-03","Democrat","1957-07-29","Diana","L.","DeGette","DeGette, Diana (Rep.) [D-CO1]","female","RepDianaDeGette"
"34","CT-3","CT",3,"Rep.","2017-01-03","Democrat","1943-03-02","Rosa","L.","DeLauro","DeLauro, Rosa (Rep.) [D-CT3]","female","RosaDeLauro"
"35","FL-25","FL",25,"Rep.","2017-01-03","Republican","1961-09-25","Mario","","Diaz-Balart","Diaz-Balart, Mario (Rep.) [R-FL25]","male","MarioDB"
"36","TX-35","TX",35,"Rep.","2017-01-03","Democrat","1946-10-06","Lloyd","A.","Doggett","Doggett, Lloyd (Rep.) [D-TX35]","male","RepLloydDoggett"
"37","PA-14","PA",14,"Rep.","2017-01-03","Democrat","1953-08-05","Michael","F.","Doyle","Doyle, Michael “Mike” (Rep.) [D-PA14]","male","USRepMikeDoyle"
"38","TN-2","TN",2,"Rep.","2017-01-03","Republican","1947-07-21","John","J.","Duncan","Duncan, John “Jimmy” (Rep.) [R-TN2]","male","RepJohnDuncanJr"
"39","NY-16","NY",16,"Rep.","2017-01-03","Democrat","1947-02-18","Eliot","L.","Engel","Engel, Eliot (Rep.) [D-NY16]","male","RepEliotEngel"
"40","CA-18","CA",18,"Rep.","2017-01-03","Democrat","1942-12-13","Anna","G.","Eshoo","Eshoo, Anna (Rep.) [D-CA18]","female","RepAnnaEshoo"
"41","CA-20","CA",20,"Rep.","2017-01-03","Democrat","1941-07-04","Sam","","Farr","Farr, Sam (Rep.) [D-CA20]","male","RepSamFarr"
"42","PA-2","PA",2,"Rep.","2017-01-03","Democrat","1956-11-21","Chaka","","Fattah","Fattah, Chaka (Rep.) [D-PA2]","male","ChakaFattah"
"43","VA-4","VA",4,"Rep.","2017-01-03","Republican","1952-02-17","J.","Randy","Forbes","Forbes, Randy (Rep.) [R-VA4]","male","Randy_Forbes"
"44","AZ-8","AZ",8,"Rep.","2017-01-03","Republican","1957-06-19","Trent","","Franks","Franks, Trent (Rep.) [R-AZ8]","male","RepTrentFranks"
"45","NJ-11","NJ",11,"Rep.","2017-01-03","Republican","1946-04-29","Rodney","P.","Frelinghuysen","Frelinghuysen, Rodney (Rep.) [R-NJ11]","male","USRepRodney"
"46","NJ-5","NJ",5,"Rep.","2017-01-03","Republican","1959-07-09","Scott","","Garrett","Garrett, Scott (Rep.) [R-NJ5]","male","RepGarrett"
"47","VA-6","VA",6,"Rep.","2017-01-03","Republican","1952-09-22","Bob","W.","Goodlatte","Goodlatte, Bob (Rep.) [R-VA6]","male","RepGoodlatte"
"48","TX-12","TX",12,"Rep.","2017-01-03","Republican","1943-01-18","Kay","","Granger","Granger, Kay (Rep.) [R-TX12]","female","RepKayGranger"
"49","MO-6","MO",6,"Rep.","2017-01-03","Republican","1963-11-07","Sam","B.","Graves","Graves, Sam (Rep.) [R-MO6]","male",NA
"50","TX-29","TX",29,"Rep.","2017-01-03","Democrat","1947-10-17","Gene","Eugene","Green","Green, Gene (Rep.) [D-TX29]","male","RepGeneGreen"
"51","AZ-3","AZ",3,"Rep.","2017-01-03","Democrat","1948-02-19","Raúl","M.","Grijalva","Grijalva, Raúl (Rep.) [D-AZ3]","male","RepraulGrijalva"
"52","IL-4","IL",4,"Rep.","2017-01-03","Democrat","1953-12-10","Luis","V.","Gutiérrez","Gutiérrez, Luis (Rep.) [D-IL4]","male","LuisGutierrez"
"53","FL-20","FL",20,"Rep.","2017-01-03","Democrat","1936-09-05","Alcee","L.","Hastings","Hastings, Alcee (Rep.) [D-FL20]","male","RepHastingsFL"
"54","TX-5","TX",5,"Rep.","2017-01-03","Republican","1957-05-29","Jeb","","Hensarling","Hensarling, Jeb (Rep.) [R-TX5]","male","RepHensarling"
"55","TX-15","TX",15,"Rep.","2017-01-03","Democrat","1940-08-20","Rubén","E.","Hinojosa","Hinojosa, Rubén (Rep.) [D-TX15]","male","USRepRHinojosa"
"56","CA-17","CA",17,"Rep.","2017-01-03","Democrat","1941-06-27","Michael","M.","Honda","Honda, Michael “Mike” (Rep.) [D-CA17]","male","RepMikeHonda"
"57","MD-5","MD",5,"Rep.","2017-01-03","Democrat","1939-06-14","Steny","H.","Hoyer","Hoyer, Steny (Rep.) [D-MD5]","male","WhipHoyer"
"58","NY-3","NY",3,"Rep.","2017-01-03","Democrat","1958-05-30","Steve","J.","Israel","Israel, Steve (Rep.) [D-NY3]","male","RepSteveIsrael"
"59","CA-49","CA",49,"Rep.","2017-01-03","Republican","1953-11-01","Darrell","E.","Issa","Issa, Darrell (Rep.) [R-CA49]","male","DarrellIssa"
"60","TX-18","TX",18,"Rep.","2017-01-03","Democrat","1950-01-12","Sheila","","Jackson Lee","Jackson Lee, Sheila (Rep.) [D-TX18]","female","JacksonLeeTX18"
"61","TX-30","TX",30,"Rep.","2017-01-03","Democrat","1935-12-03","Eddie","Bernice","Johnson","Johnson, Eddie (Rep.) [D-TX30]","female","RepEBJ"
"62","TX-3","TX",3,"Rep.","2017-01-03","Republican","1930-10-11","Sam","Robert","Johnson","Johnson, Sam (Rep.) [R-TX3]","male","SamsPressShop"
"63","NC-3","NC",3,"Rep.","2017-01-03","Republican","1943-02-10","Walter","B.","Jones","Jones, Walter (Rep.) [R-NC3]","male","RepWalterJones"
"64","OH-9","OH",9,"Rep.","2017-01-03","Democrat","1946-06-17","Marcy","","Kaptur","Kaptur, Marcy (Rep.) [D-OH9]","female","RepMarcyKaptur"
"65","WI-3","WI",3,"Rep.","2017-01-03","Democrat","1963-03-16","Ron","James","Kind","Kind, Ron (Rep.) [D-WI3]","male","RepRonKind"
"66","NY-2","NY",2,"Rep.","2017-01-03","Republican","1944-04-05","Peter","T.","King","King, Peter “Pete” (Rep.) [R-NY2]","male","RepPeteKing"
"67","IA-4","IA",4,"Rep.","2017-01-03","Republican","1949-05-28","Steve","A.","King","King, Steve (Rep.) [R-IA4]","male","SteveKingIA"
"68","MN-2","MN",2,"Rep.","2017-01-03","Republican","1947-09-06","John","Paul","Kline","Kline, John (Rep.) [R-MN2]","male","RepJohnKline"
"69","RI-2","RI",2,"Rep.","2017-01-03","Democrat","1964-04-22","James","R.","Langevin","Langevin, James “Jim” (Rep.) [D-RI2]","male","JimLangevin"
"70","WA-2","WA",2,"Rep.","2017-01-03","Democrat","1965-06-15","Rick","","Larsen","Larsen, Rick (Rep.) [D-WA2]","male","RepRickLarsen"
"71","CT-1","CT",1,"Rep.","2017-01-03","Democrat","1948-07-22","John","B.","Larson","Larson, John (Rep.) [D-CT1]","male","RepJohnLarson"
"72","CA-13","CA",13,"Rep.","2017-01-03","Democrat","1946-07-16","Barbara","","Lee","Lee, Barbara (Rep.) [D-CA13]","female","RepBarbaraLee"
"73","MI-9","MI",9,"Rep.","2017-01-03","Democrat","1931-09-06","Sander","M.","Levin","Levin, Sander (Rep.) [D-MI9]","male","RepSandyLevin"
"74","GA-5","GA",5,"Rep.","2017-01-03","Democrat","1940-02-21","John","R.","Lewis","Lewis, John (Rep.) [D-GA5]","male","RepJohnLewis"
"75","NJ-2","NJ",2,"Rep.","2017-01-03","Republican","1946-05-12","Frank","A.","LoBiondo","LoBiondo, Frank (Rep.) [R-NJ2]","male","RepLoBiondo"
