"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"PedroPierluisi","I take my responsibility of serving the 3.6 million U.S. citizens of Puerto Rico very seriously and I represent them in Congress with pride.",6946,41707,72,10504,"http://t.co/X9bMXG8KvG","Pedro Pierluisi",1240591410,0,1,"pedropierluisi","Washington D.C. / San Juan","en","34972633",510,0,"http://pbs.twimg.com/profile_images/428581306885087232/VjUt5sG7_normal.jpeg"
"Robert_Aderholt","Proudly serving the 4th Congressional District of Alabama in Congress",1030,8629,39,93,"http://t.co/pt2xdCLfZI","Rep. Robert Aderholt",1253654197,0,1,"Robert_Aderholt","Haleyville, AL","en","76452765",799,0,"http://pbs.twimg.com/profile_images/570322469345431552/muwv_7EV_normal.jpeg"
"RepJoeBarton","I represent the 6th Congressional District of Texas.",1353,14917,7,110,"http://t.co/UcrfIiWGdl","Joe Barton",1233606620,0,1,"RepJoeBarton","Texas and Washington, DC","en","19929362",1183,0,"http://pbs.twimg.com/profile_images/74842115/Barton_Headshot_Small_normal.JPG"
"RepBecerra","Chairman of the @HouseDemocrats. Proudly representing California's 34th Congressional District.",1693,18308,3,1849,"http://t.co/F2aPVwZMX6","Xavier Becerra",1271444653,0,1,"RepBecerra","Los Angeles, CA","en","133832049",1043,0,"http://pbs.twimg.com/profile_images/447001588276555776/I9nQqpC6_normal.jpeg"
"RepRobBishop","",0,1481,0,95,"http://t.co/I1sp1BC4hV","Rob Bishop",1274803346,0,0,"RepRobBishop","Brigham City or D.C.","en","148006729",211,0,"http://pbs.twimg.com/profile_images/3109160630/33a07d93e3a6d94dfed94c4fbd6501eb_normal.jpeg"
"SanfordBishop","Proudly representing Georgia's 2nd Congressional District.
Ranking Member of MilCon/VA Approps Subcommittee 
http://t.co/jORrdOYPnj",1169,7376,30,635,"http://t.co/ozJucyCFUb","Sanford Bishop, Jr.",1297210990,0,1,"SanfordBishop","Georgia 2nd CD & Washington DC","en","249410485",497,0,"http://pbs.twimg.com/profile_images/2429733840/rjl32rw6zxkszb84av5z_normal.jpeg"
"MarshaBlackburn","I am honored to serve the people of Tennessee's 7th District.",3279,17626,31,2380,"http://t.co/uIRgQmKWY5","Marsha Blackburn",1302113133,0,1,"MarshaBlackburn","Brentwood, TN","en","278145569",880,0,"http://pbs.twimg.com/profile_images/1302245568/Twitter_profile_normal.JPG"
"BlumenauerMedia","Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.",355,2756,0,250,"http://t.co/xtsAE5Cp8T","Blumenauer Media",1272404886,0,1,"BlumenauerMedia","","en","137823987",284,0,"http://pbs.twimg.com/profile_images/1769543952/Earl_garden_normal.jpg"
"SpeakerBoehner","Official Twitter account for U.S. House Speaker John Boehner (R-OH)",20418,813793,25,7501,"http://t.co/bdw41jAvA2","Speaker John Boehner",1185374553,0,1,"SpeakerBoehner","Washington, DC","en","7713202",13099,0,"http://pbs.twimg.com/profile_images/552302935313350656/WG9HxxI6_normal.jpeg"
"RepKevinBrady","Dad. Husband. Chairman of House W&M Health Subcommittee and Joint Economic Committee. Deputy Whip. Loves: Baseball and Texas.",7800,13599,420,398,"http://t.co/Lg0O7I6yn9","RepKevinBrady",1233604626,0,1,"RepKevinBrady","The Woodlands, Texas","en","19926675",1057,0,"http://pbs.twimg.com/profile_images/572440364259094528/NN73cSgO_normal.jpeg"
"RepBrady","Proudly representing Pennsylvania's 1st District in House of Representatives.  Born & Raised in Philadelphia.  Fighting for Equality and Democracy.",552,6991,7,685,"http://t.co/UXBZB1hRh5","Bob Brady",1274900032,0,1,"RepBrady","Philly - Delco - DC","en","148453195",592,0,"http://pbs.twimg.com/profile_images/933274859/New_Image_normal.JPG"
"RepCorrineBrown","I have served in the U.S. House of Representatives since 1992. My district includes Jacksonville, Gainesville and Orlando.",1066,7583,78,262,"http://t.co/5S1qvqSpp2","Corrine Brown",1304516936,0,1,"RepCorrineBrown","Jacksonville","en","292935209",564,0,"http://pbs.twimg.com/profile_images/1338701114/CB_Icon_normal.jpg"
"MichaelCBurgess","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life",3728,14541,83,1299,"http://t.co/qj3aLBJUa9","Michael Burgess, MD",1218036319,0,1,"michaelcburgess","Washington, DC/Lake Dallas, TX","en","15751083",1172,0,"http://pbs.twimg.com/profile_images/465221794/100_0726_normal.jpg"
